Title,Date,Time,Channel,Viewers
VOETBAL EK PORTUGAL-NEDERLAND,30-06-2004,2038,Ned2,8.512.000
VOETBAL EK NEDERLAND-LETLAND,23-06-2004,2039,Ned2,7.647.000
VOETBAL EK DUITSLAND-NEDERLAND,15-06-2004,2039,Ned2,7.500.000
VOETBAL EK ZWEDEN-NEDERLAND,26-06-2004,2038,Ned2,7.451.000
VOETBAL EK NEDERLAND-TSJECHIE,19-06-2004,2038,Ned2,7.073.000
VOETBAL EK BEKERUITREIKING,04-07-2004,2241,Ned2,5.935.000
VOETBAL EK GRIEKENLAND-PORTUGAL,04-07-2004,2039,Ned2,5.337.000
ANDRE BEDANKT,27-09-2004,1929,Ned2,5.047.000
STUDIO SPORT ZOMER,23-06-2004,2242,Ned2,4.755.000
VOETBAL EK TSJECHIE-DENEMARKEN,27-06-2004,2039,Ned2,4.649.000
VOETBAL EK FRANKRIJK-ENGELAND,13-06-2004,2040,Ned2,4.514.000
PRINS BERNHARD KERKDIENST,11-12-2004,1229,Ned2,4.378.000
VOETBAL EK PORTUGAL-ENGELAND,24-06-2004,2039,Ned2,4.257.000
PRINS BERNHARD ROUWSTOET,11-12-2004,1131,Ned2,3.965.000
VOETBAL EK FRANKRIJK-GRIEKENLAND,25-06-2004,2039,Ned2,3.861.000
OS OPENINGSCEREMONIE,13-08-2004,1944,Ned2,3.894.000
STUDIO SPORT ZONDAG 1,07-11-2004,1900,Ned2,3.777.000
VOETBAL EK SPANJE-PORTUGAL,20-06-2004,2039,Ned2,3.691.000
ZWEMMEN OS VRIJE SLAG 100M HEREN FINALE,18-08-2004,1918,Ned2,3.745.000
VOETBAL WK KW NEDERLAND-TSJECHIE,08-09-2004,2025,SBS 6,3.718.000
VOETBAL WK KW NEDERLAND-FINLAND,13-10-2004,2026,SBS 6,3.590.000
VOETBAL EK GRIEKENLAND-TSJECHIE,01-07-2004,2039,Ned2,3.530.000
PRINSES JULIANA KERKDIENST,30-03-2004,1228,Ned2,3.447.000
IDOLS UITSLAG,01-05-2004,2335,RTL4,3.401.000
IDOLS,01-05-2004,2102,RTL4,3.372.000
ZWEMMEN OS ESTAFETTE 4X100M VRIJ HEREN F,15-08-2004,2000,Ned2,3.426.000
VOETBAL EK ITALIE-ZWEDEN,18-06-2004,2039,Ned2,3.327.000
ZWEMMEN OS WISSELSLAG 200M HEREN,18-08-2004,1939,Ned2,3.370.000
STUDIO SPORT ZONDAG 2,29-08-2004,1930,Ned2,3.341.000
VOETBAL EK KROATIE-ENGELAND,21-06-2004,2038,Ned2,3.281.000
ZWEMMEN OS ESTAFETTE 4X100M WISSEL DAMES,21-08-2004,1907,Ned2,3.299.000
ZWEMMEN OS VRIJE SLAG 100M DAMES FINALE,19-08-2004,1940,Ned2,3.290.000
VOETBAL EK DENEMARKEN-ZWEDEN,22-06-2004,2039,Ned2,3.201.000
VOETBAL EK LETLAND-DUITSLAND,19-06-2004,1754,Ned2,3.174.000
ZWEMMEN OS VRIJE SLAG 200M HEREN FINALE,16-08-2004,1841,Ned2,3.213.000
VOETBAL VR NEDERLAND-VERENIGDE STATEN,18-02-2004,2029,SBS 6,3.146.000
ATLETIEK OS 100M HEREN FINALE,22-08-2004,2205,Ned2,3.194.000
VOETBAL VR NEDERLAND-FRANKRIJK,31-03-2004,2045,SBS 6,3.094.000
VOETBAL EK KROATIE-FRANKRIJK,17-06-2004,2038,Ned2,3.093.000
HOCKEY OS NEDERLAND-AUSTRALIE HEREN F,27-08-2004,2012,Ned2,3.104.000
OS SLUITINGSCEREMONIE,29-08-2004,2016,Ned2,3.083.000
ZWEMMEN OS SCHOOLSLAG 100M DAMES,15-08-2004,1907,Ned2,3.052.000
SCHAATSEN EK ALLROUND,11-01-2004,1638,Ned2,2.997.000
ZWEMMEN OS HULDIGING,19-08-2004,1930,Ned2,3.030.000
EUROVISIE SONGFESTIVAL,15-05-2004,2100,Ned2,2.950.000
ZWEMMEN OS INGE DE BRUIJN,21-08-2004,1920,Ned2,2.993.000
SCHAATSEN EK ALLROUND HULDIGING,11-01-2004,1650,Ned2,2.913.000
VOETBAL EK RUSLAND-PORTUGAL,16-06-2004,2039,Ned2,2.909.000
SPIJKERS JAAROVERZICHT,31-12-2004,2237,Ned3,2.935.000
VOETBAL EK ZWEDEN-BULGARIJE,14-06-2004,2039,Ned2,2.875.000
