Title,Date,Time,Channel,Viewers
VOETBAL EK PO NEDERLAND-SCHOTLAND,19-11-2003,2022,SBS 6,5.513.000
IDOLS UITSLAG,08-03-2003,2312,RTL4,4.937.000
IDOLS,08-03-2003,2101,RTL4,4.662.000
VOETBAL EK PO SCHOTLAND-NEDERLAND,15-11-2003,1546,RTL4,3.940.000
VOETBAL EK KW TSJECHIE-NEDERLAND,10-09-2003,2008,SBS 6,3.907.000
EUROVISIE SONGFESTIVAL,24-05-2003,2059,Ned2,3.836.000
STUDIO SPORT ZONDAG 1,26-10-2003,1859,Ned2,3.750.000
KOPSPIJKERS,29-11-2003,2008,Ned3,3.640.000
SPIJKERS JAAROVERZICHT,31-12-2003,2224,Ned3,3.445.000
DARTS WK EMBASSY FINALE,12-01-2003,1800,SBS 6,3.429.000
VOETBAL EK KW NEDERLAND-TSJECHIE,29-03-2003,2023,SBS 6,3.400.000
VOETBAL CL AJAX-AC MILAN,08-04-2003,2039,Ned2,3.336.000
DERDE HELFT,19-11-2003,2228,SBS 6,3.307.000
VOETBAL CL AC MILAN-AJAX,23-04-2003,2040,Ned2,3.261.000
IS EEN MEISJE,07-12-2003,2103,Ned2,3.250.000
DEBAT LIJSTTREKKERS,21-01-2003,2101,Ned2,3.237.000
BAANTJER,24-10-2003,2031,RTL4,3.144.000
VOETBAL CL AJAX-ARSENAL,26-02-2003,2039,Ned2,3.133.000
VOETBAL CL ARSENAL-AJAX,18-02-2003,2040,Ned2,3.133.000
VOETBAL EK KW MOLDAVIE-NEDERLAND,02-04-2003,1954,SBS 6,3.131.000
VOETBAL CL AS ROMA-AJAX,19-03-2003,2041,Ned2,3.108.000
VERKIEZING TWEEDE KAMER,22-01-2003,2015,Ned2,3.033.000
IDOLS BACKSTAGE,08-03-2003,2213,YRN,3.027.000
VOETBAL EK KW NEDERLAND-OOSTENRIJK,06-09-2003,2024,SBS 6,2.991.000
VOETBAL CL AJAX-VALENCIA,11-03-2003,2041,Ned2,2.875.000
VOETBAL VR NEDERLAND-PORTUGAL,30-04-2003,2037,SBS 6,2.873.000
VOETBAL CL PSV-DEPORTIVO LA CORUNA,10-12-2003,2039,Ned2,2.833.000
KERST BIJ DE BAUERS,23-12-2003,2030,RTL4,2.826.000
VOETBAL CL CLUB BRUGGE-AJAX,09-12-2003,2040,Ned2,2.823.000
TOPSPIJKERS,20-12-2003,2007,Ned3,2.806.000
JOURNAAL 20 UUR,07-12-2003,2000,Ned2,2.791.000
VOETBAL CL AJAX-CELTA DE VIGO,22-10-2003,2040,Ned2,2.762.000
FREEK DE JONGE DE STEMMING,21-01-2003,2250,Ned3,2.748.000
SPOORLOOS,10-02-2003,2102,Ned1,2.739.000
GOEDE TIJDEN SLECHTE TIJDEN,28-03-2003,2000,RTL4,2.710.000
VOETBAL CL CELTA DE VIGO-AJAX,04-11-2003,2040,Ned2,2.680.000
VOETBAL VR NEDERLAND-ARGENTINIE,12-02-2003,2024,SBS 6,2.680.000
TENNIS ROLAND GARROS FINALE HEREN,08-06-2003,1501,Ned2,2.680.000
VOETBAL CL PSV-AEK ATHENE,05-11-2003,2038,Ned2,2.657.000
VOETBAL CL AJAX-CLUB BRUGGE,01-10-2003,2039,Ned2,2.623.000
VOETBAL CL AS MONACO-PSV,25-11-2003,2040,Ned2,2.618.000
SCHAATSEN EK ALLROUND,05-01-2003,1632,Ned2,2.582.000
SCHAATSEN WK AFSTANDEN 10 KM HEREN,16-03-2003,1825,Ned2,2.553.000
SCHAATSEN WK SPRINT 500 MTR DAMES,19-01-2003,2038,Ned2,2.521.000
VOETBAL VR BELGIE-NEDERLAND,20-08-2003,2007,SBS 6,2.496.000
VOETBAL CL KW AJAX-GRAZER AK,27-08-2003,2027,Ned2,2.489.000
VOETBAL CL PSV-AS MONACO,17-09-2003,2042,Ned2,2.479.000
JOURNAAL 18 UUR,07-12-2003,1800,Ned2,2.471.000
SCHAATSEN EK ALLROUND 10 KM HEREN,05-01-2003,1340,Ned2,2.412.000
STUDIO SPORT ZONDAG 2,25-05-2003,2017,Ned2,2.382.000
