Title,Date,Time,Channel,Viewers
EUROVISIE SONGFESTIVAL FINALE,18-05-2013,2059,Ned1,4.890.000
INHULDIGING KONING WILLEM ALEXANDER,30-04-2013,1211,Ned1,4.871.000
EUROVISIE SONGFESTIVAL HALVE FINALE,14-05-2013,2059,Ned1,3.769.000
BOER ZOEKT VROUW INTERNATIONAAL,15-12-2013,2024,Ned1,3.538.000
JOURNAAL 12 UUR,30-04-2013,1200,Ned1,3.537.000
STUDIO SPORT EREDIVISIE,01-12-2013,1859,Ned1,3.429.000
WILLEM ALEXANDER EN MAXIMA HET NIEUWE KONINGSPAAR,17-04-2013,2030,Ned1,3.351.000
JOURNAAL 20 UUR,13-03-2013,1959,Ned1,3.297.000
VOICE OF HOLLAND THE BATTLE,08-11-2013,2035,RTL4,3.108.000
NATIONALE DODENHERDENKING,04-05-2013,1950,Ned1,3.069.000
VOICE OF HOLLAND THE BLIND AUDITIONS,04-10-2013,2038,RTL4,3.065.000
JOURNAAL 18 UUR,30-04-2013,1759,Ned1,3.050.000
VOICE KIDS,15-02-2013,2037,RTL4,3.008.000
JOURNAAL 16 UUR,30-04-2013,1600,Ned1,3.007.000
ALL YOU NEED IS LOVE KERSTSPECIAL,24-12-2013,2031,RTL4,3.004.000
VOICE OF HOLLAND LIVE,15-11-2013,2036,RTL4,2.891.000
WIE IS DE MOL,07-03-2013,2033,Ned1,2.850.000
VOETBAL CL DORTMUND BAY MUNCHEN F,25-05-2013,2034,Ned3,2.834.000
JOURNAAL EXTRA,19-05-2013,2257,Ned1,2.824.000
VOETBAL CL AC MILAN AJAX,11-12-2013,2039,Ned3,2.776.000
VOICE OF HOLLAND THE FINALS,20-12-2013,2039,RTL4,2.747.000
VOETBAL CL AJAX BARCELONA,26-11-2013,2038,Ned3,2.714.000
TROONSAFSTAND BEATRIX,28-01-2013,1907,Ned1,2.714.000
NABESCHOUWING INTERVIEW,17-04-2013,2122,Ned1,2.661.000
NAJIB AMHALI ALLES KOMT GOED,23-02-2013,2040,RTL4,2.639.000
VOETBAL CL HUL,25-05-2013,2242,Ned3,2.635.000
JOURNAAL 17 UUR,30-04-2013,1700,Ned1,2.549.000
PASSION,28-03-2013,2033,Ned1,2.512.000
TV SHOW,15-12-2013,2125,Ned1,2.471.000
SPOORLOOS,04-02-2013,2115,Ned1,2.466.000
HOLLANDS GOT TALENT,28-12-2013,2004,RTL4,2.458.000
GEER EN GOOR EFFE GEEN CENT TE MAKKEN,07-11-2013,2030,RTL4,2.441.000
WEET IK VEEL,23-03-2013,2036,RTL4,2.433.000
BEATRIX PORTRET VAN EEN KONINGIN,28-04-2013,2025,Ned1,2.431.000
VOETBAL WK KW NLD ROU,26-03-2013,2027,SBS 6,2.415.000
VOETBAL CL BARCELONA AJAX,18-09-2013,2039,Ned3,2.371.000
VOETBAL CL AJAX CELTIC,06-11-2013,2039,Ned3,2.347.000
RADAR,04-02-2013,2033,Ned1,2.345.000
IK HOU VAN BEATRIX,29-04-2013,2039,RTL4,2.314.000
AFSCHEID KONINGIN BEATRIX,29-04-2013,2038,Ned1,2.309.000
BEVRIJDINGSDAG 2013,05-05-2013,2049,Ned1,2.309.000
DIVORCE,10-03-2013,2136,RTL4,2.303.000
EEN TEGEN 100,08-09-2013,2131,Ned1,2.294.000
REUNIE,24-11-2013,2024,Ned1,2.294.000
GOEDE TIJDEN SLECHTE TIJDEN,02-09-2013,2001,RTL4,2.281.000
OP WEG NAAR HET SONGFESTIVAL,14-05-2013,2031,Ned1,2.275.000
VOETBAL CL BAY MUNCHEN BARCELONA HF,23-04-2013,2039,Ned3,2.265.000
FLIKKEN MAASTRICHT,15-03-2013,2034,Ned1,2.250.000
KLOK EN VUURWERK,31-12-2013,2355,Ned1,2.244.000
VOETBAL CL AJAX AC MILAN,01-10-2013,2039,Ned3,2.227.000
