Title,Date,Time,Channel,Viewers
HUWELIJK WA &amp; MAXIMA BURGERLIJK,02-02-2002,1013,Ned2,6.028.000
HUWELIJK WA &amp; MAXIMA KERKELIJK,02-02-2002,1131,Ned2,5.985.000
HUWELIJK WA &amp; MAXIMA WANDELING,02-02-2002,1044,Ned2,5.900.000
HUWELIJK WA &amp; MAXIMA RIJTOER,02-02-2002,1257,Ned2,5.672.000
HUWELIJK WA &amp; MAXIMA BALKONSCENE,02-02-2002,1327,Ned2,5.138.000
SCHAATSEN OS 5 KM DAMES,23-02-2002,2206,Ned2,4.439.000
SCHAATSEN OS 10 KM HEREN,22-02-2002,2236,Ned2,4.242.000
SCHAATSEN OS 1500 MTR HEREN,19-02-2002,2058,Ned2,4.039.000
PRINS CLAUS KERKDIENST,15-10-2002,1227,Ned2,4.021.000
SCHAATSEN OS 1000 MTR HEREN NABESCH.,16-02-2002,2152,Ned2,3.930.000
WILLEM ALEXANDER &amp; MAXIMA INTERVIEW,18-01-2002,2121,Ned2,3.830.000
SCHAATSEN OS 500 MTR HEREN,12-02-2002,2143,Ned2,3.754.000
SKIEN OS REUZENSLALOM DAMES,22-02-2002,2210,Ned2,3.728.000
PRINS CLAUS ROUWSTOET,15-10-2002,1142,Ned2,3.717.000
SCHAATSEN OS 1500 MTR DAMES,20-02-2002,2157,Ned2,3.686.000
SKIEN OS SLALOM HEREN,23-02-2002,2144,Ned2,3.663.000
HUWELIJK WA &amp; MAXIMA VOORAF,02-02-2002,0909,Ned2,3.633.000
STUDIO SPORT ZONDAG 1,15-12-2002,1900,Ned2,3.607.000
VOETBAL UC FEYENOORD-BORUSSIA DORTMUND,08-05-2002,2034,Ned2,3.566.000
SCHAATSEN OS 1500 MTR HEREN NABESCH.,19-02-2002,2343,Ned2,3.541.000
HUWELIJK FEEST IN DE ARENA,01-02-2002,1857,Ned2,3.508.000
SCHAATSEN OS 3 KM DAMES,10-02-2002,2219,Ned2,3.468.000
SCHAATSEN OS 5 KM HEREN,09-02-2002,2221,Ned2,3.377.000
SCHAATSEN OS 1000 MTR HEREN,16-02-2002,2052,Ned2,3.316.000
YOUP VAN 'T HEK YOUP SPEELT YOUP,31-12-2002,2223,Ned3,3.186.000
JOURNAAL 22 UUR,06-05-2002,2159,Ned2,3.121.000
SCHAATSEN OS MARIANNE TIMMER,20-02-2002,2258,Ned2,3.108.000
SKISPRINGEN OS 90 MTR FINALE HEREN,10-02-2002,2201,Ned2,3.035.000
VOETBAL UC FEYENOORD-INTER MILAN,11-04-2002,2025,Ned2,3.024.000
BAANTJER,22-11-2002,2031,RTL4,3.014.000
VOETBAL CL ROSENBORG-OLYMPIQUE LYON,12-11-2002,2228,Ned2,2.956.000
VOETBAL EK KW OOSTENRIJK-NEDERLAND,16-10-2002,2027,SBS 6,2.914.000
JOURNAAL 14 UUR,02-02-2002,1359,Ned2,2.817.000
KOPSPIJKERS,21-12-2002,2011,Ned3,2.780.000
CROSS COUNTRY OS 15 KM HEREN,12-02-2002,2134,Ned2,2.744.000
VOETBAL CL VALENCIA-AJAX,27-11-2002,2041,Ned2,2.742.000
AANSLAG OP PIM FORTUYN,06-05-2002,1826,Ned2,2.733.000
PRINS CLAUS RIJTOER,15-10-2002,0935,Ned2,2.728.000
VOETBAL WK DUITSLAND-BRAZILIE,30-06-2002,1252,Ned2,2.727.000
VOETBAL CL AJAX-AS ROMA,10-12-2002,2040,Ned2,2.710.000
VOETBAL UC INTER MILAN-FEYENOORD,04-04-2002,2057,Ned2,2.686.000
OS DIVERSE SPORTEN,16-02-2002,2145,Ned2,2.656.000
VOETBAL CL AJAX-INTER MILAN,12-11-2002,2041,Ned2,2.613.000
SCHAATSEN OS 500 MTR HEREN VOORBESCH.,12-02-2002,2036,Ned2,2.607.000
SCHAATSEN OS 5 KM DAMES VOORBESCHOUWING,23-02-2002,2044,Ned2,2.604.000
VOETBAL CL OLYMPIQUE LYON-AJAX,30-10-2002,2041,Ned2,2.603.000
KONINGINNEDAG MEPPEL,30-04-2002,1137,Ned2,2.596.000
VOETBAL UC FEYENOORD-PSV,21-03-2002,2010,Ned2,2.585.000
JOURNAAL 20 UUR,10-02-2002,2000,Ned2,2.585.000
VOETBAL ED COMPETITIE,07-04-2002,1900,Ned2,2.575.000
