Title,Date,Time,Channel,Viewers
SCHAATSEN WK ALLROUND HEREN HULDIGING,11-02-2007,1737,Ned1,3.391.000
SCHAATSEN WK ALLROUND 10 KM HEREN,11-02-2007,1500,Ned1,3.201.000
VOETBAL EK KW NEDERLAND-ROEMENIE,24-03-2007,2026,SBS 6,3.107.000
VOETBAL EK KW NEDERLAND-SLOVENIE,17-10-2007,2025,SBS 6,3.058.000
JOURNAAL 20 UUR,18-01-2007,2000,Ned1,3.012.000
VOETBAL BR AZ-AJAX,06-05-2007,1755,Tien,2.982.000
BOER ZOEKT VROUW,30-12-2007,2022,Ned1,2.917.000
VOETBAL EK KW ALBANIE-NEDERLAND,12-09-2007,2041,RTL4,2.915.000
VOETBAL EKJ NEDERLAND-SERVIE,23-06-2007,2042,Tien,2.886.000
BOER ZOCHT VROUW,01-01-2007,2022,Ned1,2.742.000
SCHAATSEN WK ALLROUND 5 KM DAMES,11-02-2007,1328,Ned1,2.738.000
VOETBAL EK KW SLOVENIE-NEDERLAND,28-03-2007,2040,Tien,2.728.000
SPOORLOOS,29-01-2007,2114,Ned1,2.705.000
VOETBAL EK KW NEDERLAND-BULGARIJE,08-09-2007,2025,SBS 6,2.691.000
DOMINO DAY,16-11-2007,2100,SBS 6,2.658.000
VOETBAL EK KW NEDERLAND-LUXEMBURG,17-11-2007,2025,SBS 6,2.568.000
40 JAAR HUWELIJK HKH PRINSES MARGRIET...,10-01-2007,2128,Ned1,2.555.000
RTL VOETBAL EREDIVISIE,07-10-2007,1901,RTL4,2.538.000
YOUP SCHREEUWSTORM,29-12-2007,2027,Ned1,2.496.000
VOETBAL EK KW ROEMENIE-NEDERLAND,13-10-2007,1911,RTL4,2.471.000
DOMINO DAY DE UITSLAG,16-11-2007,2243,SBS 6,2.453.000
WEDSTRIJDEN ZONDAG,04-02-2007,1900,Tien,2.421.000
OP ZOEK NAAR EVITA,21-10-2007,2231,Ned1,2.396.000
SCHAATSEN WK ALLROUND 3 KM DAMES,10-02-2007,1531,Ned1,2.361.000
VOETBAL CL ARSENAL-PSV,07-03-2007,2040,Ned3,2.352.000
RADAR,05-11-2007,2036,Ned1,2.299.000
SCHAATSEN WK ALLROUND,10-02-2007,1605,Ned1,2.245.000
VILLA FELDERHOF,26-12-2007,2123,Ned1,2.220.000
VOETBAL VR ZWITSERLAND-NEDERLAND,22-08-2007,2024,SBS 6,2.215.000
ALL YOU NEED IS LOVE KERSTSPECIAL,24-12-2007,2034,RTL4,2.213.000
MOOI WEER IN 2008 DE LEEUW,31-12-2007,2330,Ned1,2.209.000
RTL VOETBAL,19-08-2007,1903,RTL4,2.132.000
MOOI WEER DE LEEUW,22-12-2007,2027,Ned1,2.114.000
OPGELICHT,09-10-2007,2107,Ned1,2.099.000
VOETBAL CL AC MILAN-LIVERPOOL,23-05-2007,2040,Ned3,2.090.000
SCHAATSEN WK ALLROUND 1500 MTR HEREN,10-02-2007,1428,Ned1,2.089.000
SCHAATSEN WK SPRINT 500 MTR HEREN,21-01-2007,1249,Ned1,2.058.000
JAN JAAP VAN DER WAL ONDERBEWUST,31-12-2007,2210,Ned1,2.053.000
SCHAATSEN WK ALLROUND 5 KM HEREN,09-02-2007,1830,Ned1,2.031.000
SCHAATSEN WK SPRINT 1000 MTR DAMES,21-01-2007,1402,Ned1,2.020.000
NAJIB AMHALI MOST WANTED,13-01-2007,2027,Ned1,2.018.000
VOETBAL CL PSV-ARSENAL,20-02-2007,2040,Ned3,2.017.000
MOOI JAAR WEER DE LEEUW,31-12-2007,2030,Ned1,1.987.000
VOETBAL VR NEDERLAND-RUSLAND,07-02-2007,2025,SBS 6,1.977.000
HALF ACHT NIEUWS,18-01-2007,1929,RTL4,1.976.000
VOETBAL CL PSV-CSKA MOSKOU,19-09-2007,2039,Ned3,1.975.000
VOETBAL CL PSV-FENERBAHCE,23-10-2007,2039,Ned3,1.969.000
SCHAATSEN WK SPRINT 1000 MTR HEREN,21-01-2007,1502,Ned1,1.969.000
KALM AAN EN RAP EEN BEETJE,03-02-2007,2027,Ned1,1.948.000
SCHAATSEN WK ALLROUND 500 MTR DAMES,09-02-2007,1748,Ned1,1.947.000
