Title,Date,Time,Channel,Viewers
VOETBAL WK KW NEDERLAND-ARMENIE,30-03-2005,2026,SBS 6,3.976.000
STUDIO SPORT ZONDAG 1,20-03-2005,1900,Ned2,3.933.000
VOETBAL WK KW TSJECHIE-NEDERLAND,08-10-2005,2024,Tien,3.942.000
VOETBAL WK KW NEDERLAND-ROEMENIE,04-06-2005,2025,SBS 6,3.858.000
VOETBAL CL PSV-AC MILAN,04-05-2005,2039,Ned3,3.810.000
VOETBAL WK KW NEDERLAND-MACEDONIE,12-10-2005,1926,SBS 6,3.552.000
VOETBAL CL PSV-OLYMPIQUE LYON,13-04-2005,2040,Ned2,3.466.000
VOETBAL CL AC MILAN-PSV,26-04-2005,2041,Ned2,3.319.000
VOETBAL WK KW NEDERLAND-ANDORRA,07-09-2005,2024,SBS 6,3.306.000
VOETBAL VR NEDERLAND-DUITSLAND,17-08-2005,2023,SBS 6,3.286.000
BOER ZOEKT VROUW,03-04-2005,2108,Ned1,3.193.000
JOURNAAL 20 UUR,20-03-2005,2000,Ned2,3.187.000
VOETBAL UC AZ-SPORTING LISSABON,05-05-2005,2058,Ned2,3.093.000
SPOORLOOS,17-01-2005,2108,Ned1,3.036.000
VOETBAL CL FC THUN-AJAX,02-11-2005,2040,Ned2,3.050.000
VOETBAL BR FEYENOORD-PSV,20-04-2005,2045,SBS 6,3.009.000
VOETBAL VR NEDERLAND-ITALIE,12-11-2005,2040,SBS 6,3.009.000
BEATRIX 25 DIT IS EEN LAND OM LIEF TE...,30-04-2005,2010,Ned2,2.964.000
VOETBAL WK KW FINLAND-NEDERLAND,08-06-2005,1953,NICK,2.923.000
SCHAATSEN WK SPRINT 500 MTR DAMES,23-01-2005,2001,Ned2,2.910.000
VOETBAL VR ENGELAND-NEDERLAND,09-02-2005,2038,SBS 6,2.893.000
VOETBAL CL AS MONACO-PSV,09-03-2005,2040,Ned2,2.878.000
KOPSPIJKERS,05-03-2005,2008,Ned3,2.858.000
VOETBAL CL AC MILAN-LIVERPOOL,25-05-2005,2038,Ned2,2.793.000
VOETBAL CL SPARTA PRAAG-AJAX,14-09-2005,2041,Ned2,2.762.000
STUDIO SPORT ZONDAG 2,20-02-2005,2018,Ned2,2.737.000
VOETBAL CL PSV-FENERBAHCE,06-12-2005,2040,Ned2,2.736.000
VOETBAL WK KW ROEMENIE-NEDERLAND,26-03-2005,1854,NICK,2.696.000
VOETBAL CL SCHALKE 04-PSV,23-11-2005,2040,Ned2,2.701.000
HART VAN NEDERLAND VOOR AZIE,06-01-2005,2230,Ned2,2.680.000
DANCING WITH THE STARS,15-10-2005,2000,RTL4,2.688.000
VOETBAL CL OLYMPIQUE LYON-PSV,05-04-2005,2039,Ned2,2.661.000
SCHAATSEN EK ALLROUND 10 KM HEREN NB,09-01-2005,1643,Ned2,2.609.000
BAANTJER,11-11-2005,2031,RTL4,2.616.000
WEDSTRIJDEN ZONDAG,18-12-2005,1859,Tien,2.600.000
VOETBAL WKJ NEDERLAND-AUSTRALIE,15-06-2005,2023,Ned2,2.564.000
VOETBAL CL AJAX-ARSENAL,27-09-2005,2040,Ned2,2.575.000
NATIONALE ACTIE VOOR AZIE,06-01-2005,2029,Ned2,2.556.000
VOETBAL CL AJAX-SPARTA PRAAG,22-11-2005,2041,Ned2,2.563.000
VOETBAL UC AZ-VILLAREAL,14-04-2005,2026,Ned2,2.547.000
VOETBAL CL AJAX-FC THUN,18-10-2005,2039,Ned2,2.526.000
VOETBAL CL FENERBAHCE-PSV,28-09-2005,2039,Ned2,2.519.000
SCHAATSEN EK ALLROUND 10 KM HEREN,09-01-2005,1607,Ned2,2.505.000
SCHAATSEN WK SPRINT 500 MTR HEREN,23-01-2005,2100,Ned2,2.500.000
YOUP HET ZELFMOORDCOMMANDO,31-12-2005,2234,Ned3,2.505.000
VOETBAL CL ARSENAL-AJAX,07-12-2005,2039,Ned2,2.473.000
VOETBAL WKJ NEDERLAND-CHILI,22-06-2005,2023,Ned2,2.449.000
SCHAATSEN WK SPRINT 500 MTR DAMES NB,23-01-2005,2043,Ned2,2.447.000
VOETBAL BR ADO DEN HAAG-AJAX,02-03-2005,2059,SBS 6,2.425.000
VOETBAL CL KW AJAX-BRONDBY,24-08-2005,2025,Ned2,2.430.000
