Title,Date,Time,Channel,Viewers
BOER ZOEKT VROUW,08-11-2009,2024,Ned1,4.523.000
JOURNAAL 20 UUR,15-03-2009,2001,Ned1,3.395.000
BOER ZOEKT VROUW SPECIALS,04-01-2009,2023,Ned1,3.381.000
STUDIO SPORT EREDIVISIE,15-03-2009,1900,Ned1,3.230.000
BANANASPLIT,08-02-2009,2024,Ned1,3.221.000
REUNIE,25-01-2009,2123,Ned1,2.952.000
DOMINO DAY,13-11-2009,2058,SBS 6,2.940.000
DOMINO DAY RESULTSHOW,13-11-2009,2253,SBS 6,2.933.000
VOETBAL WK KW NLD-SCO,28-03-2009,2038,SBS 6,2.863.000
ALL YOU NEED IS LOVE,24-12-2009,2031,RTL4,2.836.000
SPOORLOOS,19-01-2009,2112,Ned1,2.830.000
VOETBAL WK KW NLD-MKD,01-04-2009,2041,SBS 6,2.660.000
SCHAATSEN WK ALLROUND 10KM HEREN,08-02-2009,1532,Ned1,2.607.000
INAUGURATIE OBAMA,20-01-2009,1719,Ned1,2.604.000
X FACTOR DE UITSLAG,09-05-2009,2212,RTL4,2.562.000
DIK VOORMEKAAR SHOW,27-02-2009,2113,Ned1,2.552.000
VOETBAL WK KW ISL-NLD,06-06-2009,2038,RTL4,2.544.000
VOETBAL CL BARCELONA-MAN.UNITED F,27-05-2009,2039,Ned3,2.539.000
SCHAATSEN WK ALLROUND,08-02-2009,1624,Ned1,2.529.000
HERMAN FINKERS NA DE PAUZE,26-12-2009,2150,Ned1,2.529.000
K2 ZOEKT K3 DE BESLISSING,03-10-2009,2231,SBS 6,2.528.000
EUROVISIE SONGFESTIVAL HALVE FINALE,14-05-2009,2100,Ned1,2.492.000
USHI &amp; DUSHI,24-10-2009,1958,RTL4,2.490.000
VOETBAL VR NLD-ENG,12-08-2009,2039,SBS 6,2.467.000
KONINGINNEDAG DRAMA APELDOORN,30-04-2009,1150,Ned1,2.452.000
PERSCONFERENTIE DRAMA APELDOORN,30-04-2009,1546,Ned1,2.437.000
MIES 80,30-12-2009,2129,Ned1,2.396.000
IK HOU VAN HOLLAND,05-12-2009,2039,RTL4,2.390.000
RADAR,21-12-2009,2035,Ned1,2.382.000
JOURNAAL 13 UUR,30-04-2009,1259,Ned1,2.374.000
VOETBAL WK KW NLD-NOR,10-06-2009,2039,SBS 6,2.361.000
NIEUWE URI GELLER UITSLAG FINALE,06-03-2009,2245,SBS 6,2.318.000
NATIONALE DODENHERDENKING,04-05-2009,1949,Ned1,2.317.000
HERDENKING MICHAEL JACKSON,07-07-2009,1829,Ned3,2.313.000
VOETBAL WK KW SCO-NLD,09-09-2009,2023,RTL4,2.291.000
SCHAATSEN WK ALLROUND 1500M HEREN,08-02-2009,1314,Ned1,2.277.000
VOETBAL UC AJAX-OLYM.MARSEILLE,18-03-2009,2040,Ned3,2.235.000
EENVANDAAG,20-01-2009,1851,Ned1,2.220.000
MOOI WEER DE LEEUW,28-02-2009,2028,Ned1,2.189.000
SCHAATSEN WK ALLROUND 5KM DAMES,08-02-2009,1418,Ned1,2.185.000
SCHAATSEN EK ALLROUND 5KM DAMES,11-01-2009,1615,Ned1,2.159.000
K2 ZOEKT K3 DE FINALE,03-10-2009,2020,SBS 6,2.122.000
SCHAATSEN WK ALLROUND NB,08-02-2009,1359,Ned1,2.122.000
GOUDEN TELEVIZIERRING,23-10-2009,2033,Ned1,2.110.000
PETER R DE VRIES MISDAADVERSLAGGEVER,01-11-2009,2130,SBS 6,2.108.000
MOOI WEER DE LEEUW THE DAY AFTER,15-02-2009,2119,Ned1,2.103.000
ZEG 'NS AAA,07-03-2009,1958,RTL4,2.099.000
ANDRE RIEU LIVE IN MAASTRICHT 3,06-09-2009,2122,Ned1,2.075.000
VOETBAL CL CHELSEA-BARCELONA HF,06-05-2009,2040,Ned3,2.048.000
OPGELICHT,06-01-2009,2107,Ned1,2.025.000
