Title,Date,Time,Channel,Viewers
VOETBAL WK PORTUGAL-NEDERLAND,25-06-2006,2050,Ned2,8.252.000
VOETBAL WK NEDERLAND-ARGENTINIE,21-06-2006,2048,Ned2,7.667.000
VOETBAL WK NEDERLAND-IVOORKUST,16-06-2006,1749,Ned2,7.136.000
VOETBAL WK ITALIE-FRANKRIJK,09-07-2006,1948,Ned2,5.512.000
VOETBAL WK SERVIE MONTENEGRO-NEDERLAND,11-06-2006,1451,Ned2,5.442.000
SCHAATSEN OS 1000 MTR DAMES,19-02-2006,1656,Ned2,4.718.000
SCHAATSEN OS,19-02-2006,1739,Ned2,4.601.000
SCHAATSEN OS 1000 MTR HEREN,18-02-2006,1655,Ned2,4.493.000
SCHAATSEN OS 3 KM DAMES,12-02-2006,1752,Ned2,4.493.000
SCHAATSEN OS 1500 MTR DAMES,22-02-2006,1656,Ned2,4.096.000
DARTS WK LAKESIDE FINALE,15-01-2006,1910,SBS 6,4.063.000
SCHAATSEN OS 5 KM HEREN,11-02-2006,1749,Ned2,4.039.000
VOETBAL WK DUITSLAND-ITALIE,04-07-2006,2049,Ned2,3.893.000
VOETBAL WK DUITSLAND-POLEN,14-06-2006,2051,Ned2,3.861.000
STUDIO SPORT ZOMER,25-06-2006,2307,Ned2,3.772.000
VOETBAL EKJ NEDERLAND-OEKRAINE,04-06-2006,2038,Tien,3.719.000
SCHAATSEN OS 5 KM DAMES,25-02-2006,1627,Ned2,3.663.000
VOETBAL WK PORTUGAL-FRANKRIJK,05-07-2006,2050,Ned2,3.583.000
VOETBAL VR NEDERLAND-KAMEROEN,27-05-2006,2025,SBS 6,3.568.000
VOETBAL EK KW NEDERLAND-ALBANIE,11-10-2006,2027,SBS 6,3.508.000
IDOLS UITSLAG,11-03-2006,2228,RTL4,3.447.000
VOETBAL WK ARGENTINIE-MEXICO,24-06-2006,2051,Ned2,3.405.000
SCHAATSEN OS 1500 MTR HEREN,21-02-2006,1554,Ned2,3.371.000
VOETBAL CL FC BARCELONA-ARSENAL,17-05-2006,2040,Ned2,3.216.000
SCHAATSEN OS 500 MTR HEREN,13-02-2006,1737,Ned2,3.192.000
VOETBAL WK BRAZILIE-KROATIE,13-06-2006,2050,Ned2,3.174.000
SCHAATSEN OS TEAMACHTERVOLGING DAMES,15-02-2006,1823,Ned2,3.155.000
VOETBAL VR NEDERLAND-ECUADOR,01-03-2006,2040,SBS 6,3.148.000
VOETBAL WK ENGELAND-ECUADOR,25-06-2006,1650,Ned2,3.077.000
BOER ZOEKT VROUW,05-11-2006,2020,Ned1,3.042.000
VOETBAL EK KW NEDERLAND-WIT RUSLAND,06-09-2006,2024,SBS 6,2.995.000
VOETBAL WK ZWEDEN-PARAGUAY,15-06-2006,2051,Ned2,2.983.000
OS OPENINGSCEREMONIE,10-02-2006,1956,Ned2,2.977.000
SCHAATSEN OS TEAMACHTERVOLGING HEREN F,16-02-2006,1847,Ned2,2.953.000
IDOLS,11-03-2006,1959,RTL4,2.926.000
SCHAATSEN OS 10 KM HEREN,24-02-2006,1457,Ned2,2.907.000
VOETBAL WK SPANJE-FRANKRIJK,27-06-2006,2050,Ned2,2.882.000
VOETBAL WK ZWEDEN-ENGELAND,20-06-2006,2050,Ned2,2.882.000
SCHAATSEN OS TEAMACHTERVOLGING HEREN,15-02-2006,1904,Ned2,2.868.000
VOETBAL WK DUITSLAND-ARGENTINIE,30-06-2006,1648,Ned2,2.856.000
VOETBAL EK KW BULGARIJE-NEDERLAND,07-10-2006,1955,Tien,2.814.000
VOETBAL VR NEDERLAND-ENGELAND,15-11-2006,1957,SBS 6,2.791.000
VOETBAL WK DUITSLAND-COSTA RICA,09-06-2006,1750,Ned2,2.770.000
VOETBAL WK KROATIE-AUSTRALIE,22-06-2006,2052,Ned2,2.769.000
VOETBAL WK BRAZILIE-AUSTRALIE,18-06-2006,1750,Ned2,2.762.000
VOETBAL WK BRAZILIE-FRANKRIJK,01-07-2006,2050,Ned2,2.723.000
SPOORLOOS,16-01-2006,2109,Ned1,2.722.000
VOETBAL WK MEXICO-ANGOLA,16-06-2006,2052,Ned2,2.721.000
WEDSTRIJDEN ZONDAG,12-11-2006,1900,Tien,2.706.000
SCHAATSEN OS HULDIGING,25-02-2006,1831,Ned2,2.694.000
