Title,Date,Time,Channel,Viewers
BOER ZOEKT VROUW,30-01-2011,2025,Ned1,5.381.000
JOURNAAL 20 UUR,30-01-2011,2001,Ned1,3.922.000
VOICE OF HOLLAND,14-10-2011,2035,RTL4,3.885.000
VOICE OF HOLLAND THE FINAL,21-01-2011,2039,RTL4,3.818.000
VOICE OF HOLLAND THE BATTLE,04-11-2011,2036,RTL4,3.815.000
VOICE OF HOLLAND LIVE,02-12-2011,2039,RTL4,3.615.000
TV SHOW,06-02-2011,2122,Ned1,3.422.000
VOETBAL CL BARCELONA MAN UNITED F,28-05-2011,2037,Ned3,3.416.000
STUDIO SPORT EREDIVISIE,27-02-2011,1858,Ned1,3.389.000
VOICE OF HOLLAND THE RESULTS,21-01-2011,2323,RTL4,3.300.000
TV KANTINE,21-01-2011,2248,RTL4,3.150.000
VOETBAL CL BARCELONA MAN UNITED HUL,28-05-2011,2242,Ned3,3.086.000
IK HOU VAN HOLLAND,08-10-2011,2046,RTL4,2.920.000
REUNIE,20-03-2011,2028,Ned1,2.899.000
NATIONALE DODENHERDENKING,04-05-2011,1949,Ned1,2.893.000
MAXIMA PORTRET VAN EEN PRINSES,16-05-2011,2036,Ned1,2.808.000
YOUP VAN T HEK DE TWEEDE VIOOL,31-12-2011,2214,Ned1,2.802.000
VOETBAL EK KW NLD HUN,29-03-2011,2023,SBS 6,2.787.000
SPAANSE SCHAEP,16-01-2011,2121,Ned1,2.737.000
HOLLANDS GOT TALENT,16-09-2011,2035,RTL4,2.660.000
VOETBAL VR DEU NLD,15-11-2011,2041,Ver,2.605.000
SPOORLOOS,17-01-2011,2116,Ned1,2.571.000
USHI AND THE FAMILY,08-10-2011,2005,RTL4,2.498.000
VOETBAL BR TWENTE AJAX F,08-05-2011,1755,Ver,2.487.000
VOETBAL CL BARCELONA REAL MADRID HF,03-05-2011,2039,Ned3,2.391.000
VOETBAL CL AJAX REAL MADRID,07-12-2011,2039,Ned3,2.328.000
HALF ACHT NIEUWS,05-01-2011,1930,RTL4,2.318.000
VOETBAL CL REAL MADRID BARCELONA HF,27-04-2011,2041,Ned3,2.301.000
VOETBAL EK KW SWE NLD,11-10-2011,2006,Ver,2.300.000
RADAR,17-01-2011,2034,Ned1,2.298.000
VAN DER VORST ZIET STERREN,25-11-2011,2232,RTL4,2.254.000
NATIONAAL SONGFESTIVAL MET DE 3JS,30-01-2011,2122,Ned1,2.249.000
HUWELIJK WILLIAM EN KATE,29-04-2011,1113,Ned1,2.241.000
WIELRENNEN TOUR DE FRANCE NB,24-07-2011,1733,Ned1,2.217.000
IEDEREEN IS GEK OP JACK,26-02-2011,1959,RTL4,2.200.000
IK HOU VAN HOLLAND OUD EN NIEUW,31-12-2011,2158,RTL4,2.164.000
GOEDE TIJDEN SLECHTE TIJDEN,02-12-2011,2008,RTL4,2.157.000
VOETBAL EK KW FIN NLD,06-09-2011,1852,Ver,2.152.000
WIE IS DE MOL,06-01-2011,2036,Ned1,2.146.000
ALL YOU NEED IS LOVE,24-12-2011,2007,RTL4,2.134.000
VOETBAL CL AJAX OLYM LYON,14-09-2011,2040,Ned3,2.133.000
VOETBAL CL DINAMO ZAGREB AJAX,18-10-2011,2039,Ned3,2.131.000
VOETBAL CL AJAX DINAMO ZAGREB,02-11-2011,2040,Ned3,2.128.000
HOTTER THAN MY DAUGHTER,14-10-2011,2231,RTL4,2.126.000
VOETBAL CL REAL MADRID AJAX,27-09-2011,2041,Ned3,2.121.000
VOETBAL CL BARCELONA ARSENAL,08-03-2011,2040,Ned3,2.114.000
FLIKKEN MAASTRICHT,14-01-2011,2035,Ned1,2.099.000
FROZEN PLANET,13-12-2011,2033,Ned1,2.082.000
VOETBAL CL OLYM LYON AJAX,22-11-2011,2039,Ned3,2.081.000
TUSSEN KUNST EN KITSCH,05-01-2011,2036,Ned1,2.075.000
